REGION,TECHNOLOGY,EMISSION,MODE_OF_OPERATION,YEAR,VALUE
RE1,FTEINDHFO,CO2ind,2,2035,0.0
RE1,FTEINDHFO,CO2ind,2,2036,0.0
RE1,FTEINDHFO,CO2ind,2,2037,0.0
RE1,FTEINDHFO,CO2ind,2,2038,0.0
RE1,FTEINDHFO,CO2ind,2,2039,0.0
RE1,FTEINDHFO,CO2ind,2,2040,0.0
RE1,FTEINDHFO,CO2ind,2,2041,0.0
RE1,FTEINDHFO,CO2ind,2,2042,0.0
RE1,FTEINDHFO,CO2ind,2,2043,0.0
RE1,FTEINDHFO,CO2ind,2,2044,0.0
RE1,FTEINDHFO,CO2ind,2,2045,0.0
RE1,FTEINDHFO,CO2ind,2,2046,0.0
RE1,FTEINDHFO,CO2ind,2,2047,0.0
RE1,FTEINDHFO,CO2ind,2,2048,0.0
RE1,FTEINDHFO,CO2ind,2,2049,0.0
RE1,FTEINDHFO,CO2ind,2,2050,0.0
RE1,FTEINDKER,CO2ind,1,2019,0.07
RE1,FTEINDKER,CO2ind,1,2020,0.07
RE1,FTEINDKER,CO2ind,1,2021,0.07
RE1,FTEINDKER,CO2ind,1,2022,0.07
RE1,FTEINDKER,CO2ind,1,2023,0.07
RE1,FTEINDKER,CO2ind,1,2024,0.07
RE1,FTEINDKER,CO2ind,1,2025,0.07
RE1,FTEINDKER,CO2ind,1,2026,0.07
RE1,FTEINDKER,CO2ind,1,2027,0.07
RE1,FTEINDKER,CO2ind,1,2028,0.07
RE1,FTEINDKER,CO2ind,1,2029,0.07
RE1,FTEINDKER,CO2ind,1,2030,0.07
RE1,FTEINDKER,CO2ind,1,2031,0.07
RE1,FTEINDKER,CO2ind,1,2032,0.07
RE1,FTEINDKER,CO2ind,1,2033,0.07
RE1,FTEINDKER,CO2ind,1,2034,0.07
RE1,FTEINDKER,CO2ind,1,2035,0.07
RE1,FTEINDKER,CO2ind,1,2036,0.07
RE1,FTEINDKER,CO2ind,1,2037,0.07
RE1,FTEINDKER,CO2ind,1,2038,0.07
RE1,FTEINDKER,CO2ind,1,2039,0.07
RE1,FTEINDKER,CO2ind,1,2040,0.07
RE1,FTEINDKER,CO2ind,1,2041,0.07
RE1,FTEINDKER,CO2ind,1,2042,0.07
RE1,FTEINDKER,CO2ind,1,2043,0.07
RE1,FTEINDKER,CO2ind,1,2044,0.07
RE1,FTEINDKER,CO2ind,1,2045,0.07
RE1,FTEINDKER,CO2ind,1,2046,0.07
RE1,FTEINDKER,CO2ind,1,2047,0.07
RE1,FTEINDKER,CO2ind,1,2048,0.07
RE1,FTEINDKER,CO2ind,1,2049,0.07
RE1,FTEINDKER,CO2ind,1,2050,0.07
RE1,FTEINDKER,CO2ind,2,2019,0.0
RE1,FTEINDKER,CO2ind,2,2020,0.0
RE1,FTEINDKER,CO2ind,2,2021,0.0
RE1,FTEINDKER,CO2ind,2,2022,0.0
RE1,FTEINDKER,CO2ind,2,2023,0.0
RE1,FTEINDKER,CO2ind,2,2024,0.0
RE1,FTEINDKER,CO2ind,2,2025,0.0
RE1,FTEINDKER,CO2ind,2,2026,0.0
RE1,FTEINDKER,CO2ind,2,2027,0.0
RE1,FTEINDKER,CO2ind,2,2028,0.0
RE1,FTEINDKER,CO2ind,2,2029,0.0
RE1,FTEINDKER,CO2ind,2,2030,0.0
RE1,FTEINDKER,CO2ind,2,2031,0.0
RE1,FTEINDKER,CO2ind,2,2032,0.0
RE1,FTEINDKER,CO2ind,2,2033,0.0
RE1,FTEINDKER,CO2ind,2,2034,0.0
RE1,FTEINDKER,CO2ind,2,2035,0.0
RE1,FTEINDKER,CO2ind,2,2036,0.0
RE1,FTEINDKER,CO2ind,2,2037,0.0
RE1,FTEINDKER,CO2ind,2,2038,0.0
RE1,FTEINDKER,CO2ind,2,2039,0.0
RE1,FTEINDKER,CO2ind,2,2040,0.0
RE1,FTEINDKER,CO2ind,2,2041,0.0
RE1,FTEINDKER,CO2ind,2,2042,0.0
RE1,FTEINDKER,CO2ind,2,2043,0.0
RE1,FTEINDKER,CO2ind,2,2044,0.0
RE1,FTEINDKER,CO2ind,2,2045,0.0
RE1,FTEINDKER,CO2ind,2,2046,0.0
RE1,FTEINDKER,CO2ind,2,2047,0.0
RE1,FTEINDKER,CO2ind,2,2048,0.0
RE1,FTEINDKER,CO2ind,2,2049,0.0
RE1,FTEINDKER,CO2ind,2,2050,0.0
RE1,FTEINDLPG,CO2ind,1,2019,0.06
RE1,FTEINDLPG,CO2ind,1,2020,0.06
RE1,FTEINDLPG,CO2ind,1,2021,0.06
RE1,FTEINDLPG,CO2ind,1,2022,0.06
RE1,FTEINDLPG,CO2ind,1,2023,0.06
RE1,FTEINDLPG,CO2ind,1,2024,0.06
RE1,FTEINDLPG,CO2ind,1,2025,0.06
RE1,FTEINDLPG,CO2ind,1,2026,0.06
RE1,FTEINDLPG,CO2ind,1,2027,0.06
RE1,FTEINDLPG,CO2ind,1,2028,0.06
RE1,FTEINDLPG,CO2ind,1,2029,0.06
RE1,FTEINDLPG,CO2ind,1,2030,0.06
RE1,FTEINDLPG,CO2ind,1,2031,0.06
RE1,FTEINDLPG,CO2ind,1,2032,0.06
RE1,FTEINDLPG,CO2ind,1,2033,0.06
RE1,FTEINDLPG,CO2ind,1,2034,0.06
RE1,FTEINDLPG,CO2ind,1,2035,0.06
RE1,FTEINDLPG,CO2ind,1,2036,0.06
RE1,FTEINDLPG,CO2ind,1,2037,0.06
RE1,FTEINDLPG,CO2ind,1,2038,0.06
RE1,FTEINDLPG,CO2ind,1,2039,0.06
RE1,FTEINDLPG,CO2ind,1,2040,0.06
RE1,FTEINDLPG,CO2ind,1,2041,0.06
RE1,FTEINDLPG,CO2ind,1,2042,0.06
RE1,FTEINDLPG,CO2ind,1,2043,0.06
RE1,FTEINDLPG,CO2ind,1,2044,0.06
RE1,FTEINDLPG,CO2ind,1,2045,0.06
RE1,FTEINDLPG,CO2ind,1,2046,0.06
RE1,FTEINDLPG,CO2ind,1,2047,0.06
RE1,FTEINDLPG,CO2ind,1,2048,0.06
RE1,FTEINDLPG,CO2ind,1,2049,0.06
RE1,FTEINDLPG,CO2ind,1,2050,0.06
RE1,FTEINDLPG,CO2ind,2,2019,0.0
RE1,FTEINDLPG,CO2ind,2,2020,0.0
RE1,FTEINDLPG,CO2ind,2,2021,0.0
RE1,FTEINDLPG,CO2ind,2,2022,0.0
RE1,FTEINDLPG,CO2ind,2,2023,0.0
RE1,FTEINDLPG,CO2ind,2,2024,0.0
RE1,FTEINDLPG,CO2ind,2,2025,0.0
RE1,FTEINDLPG,CO2ind,2,2026,0.0
RE1,FTEINDLPG,CO2ind,2,2027,0.0
RE1,FTEINDLPG,CO2ind,2,2028,0.0
RE1,FTEINDLPG,CO2ind,2,2029,0.0
RE1,FTEINDLPG,CO2ind,2,2030,0.0
RE1,FTEINDLPG,CO2ind,2,2031,0.0
RE1,FTEINDLPG,CO2ind,2,2032,0.0
RE1,FTEINDLPG,CO2ind,2,2033,0.0
RE1,FTEINDLPG,CO2ind,2,2034,0.0
RE1,FTEINDLPG,CO2ind,2,2035,0.0
RE1,FTEINDLPG,CO2ind,2,2036,0.0
RE1,FTEINDLPG,CO2ind,2,2037,0.0
RE1,FTEINDLPG,CO2ind,2,2038,0.0
RE1,FTEINDLPG,CO2ind,2,2039,0.0
RE1,FTEINDLPG,CO2ind,2,2040,0.0
RE1,FTEINDLPG,CO2ind,2,2041,0.0
RE1,FTEINDLPG,CO2ind,2,2042,0.0
RE1,FTEINDLPG,CO2ind,2,2043,0.0
RE1,FTEINDLPG,CO2ind,2,2044,0.0
RE1,FTEINDLPG,CO2ind,2,2045,0.0
RE1,FTEINDLPG,CO2ind,2,2046,0.0
RE1,FTEINDLPG,CO2ind,2,2047,0.0
RE1,FTEINDLPG,CO2ind,2,2048,0.0
RE1,FTEINDLPG,CO2ind,2,2049,0.0
RE1,FTEINDLPG,CO2ind,2,2050,0.0
RE1,FTERESBGS,CO2res,1,2019,0.0
RE1,FTERESBGS,CO2res,1,2020,0.0
RE1,FTERESBGS,CO2res,1,2021,0.0
RE1,FTERESBGS,CO2res,1,2022,0.0
RE1,FTERESBGS,CO2res,1,2023,0.0
RE1,FTERESBGS,CO2res,1,2024,0.0
RE1,FTERESBGS,CO2res,1,2025,0.0
RE1,FTERESBGS,CO2res,1,2026,0.0
RE1,FTERESBGS,CO2res,1,2027,0.0
RE1,FTERESBGS,CO2res,1,2028,0.0
RE1,FTERESBGS,CO2res,1,2029,0.0
RE1,FTERESBGS,CO2res,1,2030,0.0
RE1,FTERESBGS,CO2res,1,2031,0.0
RE1,FTERESBGS,CO2res,1,2032,0.0
RE1,FTERESBGS,CO2res,1,2033,0.0
RE1,FTERESBGS,CO2res,1,2034,0.0
RE1,FTERESBGS,CO2res,1,2035,0.0
RE1,FTERESBGS,CO2res,1,2036,0.0
RE1,FTERESBGS,CO2res,1,2037,0.0
RE1,FTERESBGS,CO2res,1,2038,0.0
RE1,FTERESBGS,CO2res,1,2039,0.0
RE1,FTERESBGS,CO2res,1,2040,0.0
RE1,FTERESBGS,CO2res,1,2041,0.0
RE1,FTERESBGS,CO2res,1,2042,0.0
RE1,FTERESBGS,CO2res,1,2043,0.0
RE1,FTERESBGS,CO2res,1,2044,0.0
RE1,FTERESBGS,CO2res,1,2045,0.0
RE1,FTERESBGS,CO2res,1,2046,0.0
RE1,FTERESBGS,CO2res,1,2047,0.0
RE1,FTERESBGS,CO2res,1,2048,0.0
RE1,FTERESBGS,CO2res,1,2049,0.0
RE1,FTERESBGS,CO2res,1,2050,0.0
RE1,FTERESBGS,CO2res,2,2019,0.0
RE1,FTERESBGS,CO2res,2,2020,0.0
RE1,FTERESBGS,CO2res,2,2021,0.0
RE1,FTERESBGS,CO2res,2,2022,0.0
RE1,FTERESBGS,CO2res,2,2023,0.0
RE1,FTERESBGS,CO2res,2,2024,0.0
RE1,FTERESBGS,CO2res,2,2025,0.0
RE1,FTERESBGS,CO2res,2,2026,0.0
RE1,FTERESBGS,CO2res,2,2027,0.0
RE1,FTERESBGS,CO2res,2,2028,0.0
RE1,FTERESBGS,CO2res,2,2029,0.0
RE1,FTERESBGS,CO2res,2,2030,0.0
RE1,FTERESBGS,CO2res,2,2031,0.0
RE1,FTERESBGS,CO2res,2,2032,0.0
RE1,FTERESBGS,CO2res,2,2033,0.0
RE1,FTERESBGS,CO2res,2,2034,0.0
RE1,FTERESBGS,CO2res,2,2035,0.0
RE1,FTERESBGS,CO2res,2,2036,0.0
RE1,FTERESBGS,CO2res,2,2037,0.0
RE1,FTERESBGS,CO2res,2,2038,0.0
RE1,FTERESBGS,CO2res,2,2039,0.0
RE1,FTERESBGS,CO2res,2,2040,0.0
RE1,FTERESBGS,CO2res,2,2041,0.0
RE1,FTERESBGS,CO2res,2,2042,0.0
RE1,FTERESBGS,CO2res,2,2043,0.0
RE1,FTERESBGS,CO2res,2,2044,0.0
RE1,FTERESBGS,CO2res,2,2045,0.0
RE1,FTERESBGS,CO2res,2,2046,0.0
RE1,FTERESBGS,CO2res,2,2047,0.0
RE1,FTERESBGS,CO2res,2,2048,0.0
RE1,FTERESBGS,CO2res,2,2049,0.0
RE1,FTERESBGS,CO2res,2,2050,0.0
RE1,FTERESBIO,CO2res,1,2019,0.11
RE1,FTERESBIO,CO2res,1,2020,0.11
RE1,FTERESBIO,CO2res,1,2021,0.11
RE1,FTERESBIO,CO2res,1,2022,0.11
RE1,FTERESBIO,CO2res,1,2023,0.11
RE1,FTERESBIO,CO2res,1,2024,0.11
RE1,FTERESBIO,CO2res,1,2025,0.11
RE1,FTERESBIO,CO2res,1,2026,0.11
RE1,FTERESBIO,CO2res,1,2027,0.11
RE1,FTERESBIO,CO2res,1,2028,0.11
RE1,FTERESBIO,CO2res,1,2029,0.11
RE1,FTERESBIO,CO2res,1,2030,0.11
RE1,FTERESBIO,CO2res,1,2031,0.11
RE1,FTERESBIO,CO2res,1,2032,0.11
RE1,FTERESBIO,CO2res,1,2033,0.11
RE1,FTERESBIO,CO2res,1,2034,0.11
RE1,FTERESBIO,CO2res,1,2035,0.11
RE1,FTERESBIO,CO2res,1,2036,0.11
RE1,FTERESBIO,CO2res,1,2037,0.11
RE1,FTERESBIO,CO2res,1,2038,0.11
RE1,FTERESBIO,CO2res,1,2039,0.11
RE1,FTERESBIO,CO2res,1,2040,0.11
RE1,FTERESBIO,CO2res,1,2041,0.11
RE1,FTERESBIO,CO2res,1,2042,0.11
RE1,FTERESBIO,CO2res,1,2043,0.11
RE1,FTERESBIO,CO2res,1,2044,0.11
RE1,FTERESBIO,CO2res,1,2045,0.11
RE1,FTERESBIO,CO2res,1,2046,0.11
RE1,FTERESBIO,CO2res,1,2047,0.11
RE1,FTERESBIO,CO2res,1,2048,0.11
RE1,FTERESBIO,CO2res,1,2049,0.11
RE1,FTERESBIO,CO2res,1,2050,0.11
RE1,FTERESBIO,CO2res,2,2019,0.0
RE1,FTERESBIO,CO2res,2,2020,0.0
RE1,FTERESBIO,CO2res,2,2021,0.0
RE1,FTERESBIO,CO2res,2,2022,0.0
RE1,FTERESBIO,CO2res,2,2023,0.0
RE1,FTERESBIO,CO2res,2,2024,0.0
RE1,FTERESBIO,CO2res,2,2025,0.0
RE1,FTERESBIO,CO2res,2,2026,0.0
RE1,FTERESBIO,CO2res,2,2027,0.0
RE1,FTERESBIO,CO2res,2,2028,0.0
RE1,FTERESBIO,CO2res,2,2029,0.0
RE1,FTERESBIO,CO2res,2,2030,0.0
RE1,FTERESBIO,CO2res,2,2031,0.0
RE1,FTERESBIO,CO2res,2,2032,0.0
RE1,FTERESBIO,CO2res,2,2033,0.0
RE1,FTERESBIO,CO2res,2,2034,0.0
RE1,FTERESBIO,CO2res,2,2035,0.0
RE1,FTERESBIO,CO2res,2,2036,0.0
RE1,FTERESBIO,CO2res,2,2037,0.0
RE1,FTERESBIO,CO2res,2,2038,0.0
RE1,FTERESBIO,CO2res,2,2039,0.0
RE1,FTERESBIO,CO2res,2,2040,0.0
RE1,FTERESBIO,CO2res,2,2041,0.0
RE1,FTERESBIO,CO2res,2,2042,0.0
RE1,FTERESBIO,CO2res,2,2043,0.0
RE1,FTERESBIO,CO2res,2,2044,0.0
RE1,FTERESBIO,CO2res,2,2045,0.0
RE1,FTERESBIO,CO2res,2,2046,0.0
RE1,FTERESBIO,CO2res,2,2047,0.0
RE1,FTERESBIO,CO2res,2,2048,0.0
RE1,FTERESBIO,CO2res,2,2049,0.0
RE1,FTERESBIO,CO2res,2,2050,0.0
RE1,FTERESCHC,CO2res,1,2019,0.11
RE1,FTERESCHC,CO2res,1,2020,0.11
RE1,FTERESCHC,CO2res,1,2021,0.11
RE1,FTERESCHC,CO2res,1,2022,0.11
RE1,FTERESCHC,CO2res,1,2023,0.11
RE1,FTERESCHC,CO2res,1,2024,0.11
RE1,FTERESCHC,CO2res,1,2025,0.11
RE1,FTERESCHC,CO2res,1,2026,0.11
RE1,FTERESCHC,CO2res,1,2027,0.11
RE1,FTERESCHC,CO2res,1,2028,0.11
RE1,FTERESCHC,CO2res,1,2029,0.11
RE1,FTERESCHC,CO2res,1,2030,0.11
RE1,FTERESCHC,CO2res,1,2031,0.11
RE1,FTERESCHC,CO2res,1,2032,0.11
RE1,FTERESCHC,CO2res,1,2033,0.11
RE1,FTERESCHC,CO2res,1,2034,0.11
RE1,FTERESCHC,CO2res,1,2035,0.11
RE1,FTERESCHC,CO2res,1,2036,0.11
RE1,FTERESCHC,CO2res,1,2037,0.11
RE1,FTERESCHC,CO2res,1,2038,0.11
RE1,FTERESCHC,CO2res,1,2039,0.11
RE1,FTERESCHC,CO2res,1,2040,0.11
RE1,FTERESCHC,CO2res,1,2041,0.11
RE1,FTERESCHC,CO2res,1,2042,0.11
RE1,FTERESCHC,CO2res,1,2043,0.11
RE1,FTERESCHC,CO2res,1,2044,0.11
RE1,FTERESCHC,CO2res,1,2045,0.11
RE1,FTERESCHC,CO2res,1,2046,0.11
RE1,FTERESCHC,CO2res,1,2047,0.11
RE1,FTERESCHC,CO2res,1,2048,0.11
RE1,FTERESCHC,CO2res,1,2049,0.11
RE1,FTERESCHC,CO2res,1,2050,0.11
RE1,FTERESCHC,CO2res,2,2019,0.0
RE1,FTERESCHC,CO2res,2,2020,0.0
RE1,FTERESCHC,CO2res,2,2021,0.0
RE1,FTERESCHC,CO2res,2,2022,0.0
RE1,FTERESCHC,CO2res,2,2023,0.0
RE1,FTERESCHC,CO2res,2,2024,0.0
RE1,FTERESCHC,CO2res,2,2025,0.0
RE1,FTERESCHC,CO2res,2,2026,0.0
RE1,FTERESCHC,CO2res,2,2027,0.0
RE1,FTERESCHC,CO2res,2,2028,0.0
RE1,FTERESCHC,CO2res,2,2029,0.0
RE1,FTERESCHC,CO2res,2,2030,0.0
RE1,FTERESCHC,CO2res,2,2031,0.0
RE1,FTERESCHC,CO2res,2,2032,0.0
RE1,FTERESCHC,CO2res,2,2033,0.0
RE1,FTERESCHC,CO2res,2,2034,0.0
RE1,FTERESCHC,CO2res,2,2035,0.0
RE1,FTERESCHC,CO2res,2,2036,0.0
RE1,FTERESCHC,CO2res,2,2037,0.0
RE1,FTERESCHC,CO2res,2,2038,0.0
RE1,FTERESCHC,CO2res,2,2039,0.0
RE1,FTERESCHC,CO2res,2,2040,0.0
RE1,FTERESCHC,CO2res,2,2041,0.0
RE1,FTERESCHC,CO2res,2,2042,0.0
RE1,FTERESCHC,CO2res,2,2043,0.0
RE1,FTERESCHC,CO2res,2,2044,0.0
RE1,FTERESCHC,CO2res,2,2045,0.0
RE1,FTERESCHC,CO2res,2,2046,0.0
RE1,FTERESCHC,CO2res,2,2047,0.0
RE1,FTERESCHC,CO2res,2,2048,0.0
RE1,FTERESCHC,CO2res,2,2049,0.0
RE1,FTERESCHC,CO2res,2,2050,0.0
RE1,FTERESELC,CO2res,1,2019,0.0
RE1,FTERESELC,CO2res,1,2020,0.0
RE1,FTERESELC,CO2res,1,2021,0.0
RE1,FTERESELC,CO2res,1,2022,0.0
RE1,FTERESELC,CO2res,1,2023,0.0
RE1,FTERESELC,CO2res,1,2024,0.0
RE1,FTERESELC,CO2res,1,2025,0.0
RE1,FTERESELC,CO2res,1,2026,0.0
RE1,FTERESELC,CO2res,1,2027,0.0
RE1,FTERESELC,CO2res,1,2028,0.0
RE1,FTERESELC,CO2res,1,2029,0.0
RE1,FTERESELC,CO2res,1,2030,0.0
RE1,FTERESELC,CO2res,1,2031,0.0
RE1,FTERESELC,CO2res,1,2032,0.0
RE1,FTERESELC,CO2res,1,2033,0.0
RE1,FTERESELC,CO2res,1,2034,0.0
RE1,FTERESELC,CO2res,1,2035,0.0
RE1,FTERESELC,CO2res,1,2036,0.0
RE1,FTERESELC,CO2res,1,2037,0.0
RE1,FTERESELC,CO2res,1,2038,0.0
RE1,FTERESELC,CO2res,1,2039,0.0
RE1,FTERESELC,CO2res,1,2040,0.0
RE1,FTERESELC,CO2res,1,2041,0.0
RE1,FTERESELC,CO2res,1,2042,0.0
RE1,FTERESELC,CO2res,1,2043,0.0
RE1,FTERESELC,CO2res,1,2044,0.0
RE1,FTERESELC,CO2res,1,2045,0.0
RE1,FTERESELC,CO2res,1,2046,0.0
RE1,FTERESELC,CO2res,1,2047,0.0
RE1,FTERESELC,CO2res,1,2048,0.0
RE1,FTERESELC,CO2res,1,2049,0.0
RE1,FTERESELC,CO2res,1,2050,0.0
RE1,FTERESELC,CO2res,2,2019,0.0
RE1,FTERESELC,CO2res,2,2020,0.0
RE1,FTERESELC,CO2res,2,2021,0.0
RE1,FTERESELC,CO2res,2,2022,0.0
RE1,FTERESELC,CO2res,2,2023,0.0
RE1,FTERESELC,CO2res,2,2024,0.0
RE1,FTERESELC,CO2res,2,2025,0.0
RE1,FTERESELC,CO2res,2,2026,0.0
RE1,FTERESELC,CO2res,2,2027,0.0
RE1,FTERESELC,CO2res,2,2028,0.0
RE1,FTERESELC,CO2res,2,2029,0.0
RE1,FTERESELC,CO2res,2,2030,0.0
RE1,FTERESELC,CO2res,2,2031,0.0
RE1,FTERESELC,CO2res,2,2032,0.0
RE1,FTERESELC,CO2res,2,2033,0.0
RE1,FTERESELC,CO2res,2,2034,0.0
RE1,FTERESELC,CO2res,2,2035,0.0
RE1,FTERESELC,CO2res,2,2036,0.0
RE1,FTERESELC,CO2res,2,2037,0.0
RE1,FTERESELC,CO2res,2,2038,0.0
RE1,FTERESELC,CO2res,2,2039,0.0
RE1,FTERESELC,CO2res,2,2040,0.0
RE1,FTERESELC,CO2res,2,2041,0.0
RE1,FTERESELC,CO2res,2,2042,0.0
RE1,FTERESELC,CO2res,2,2043,0.0
RE1,FTERESELC,CO2res,2,2044,0.0
RE1,FTERESELC,CO2res,2,2045,0.0
RE1,FTERESELC,CO2res,2,2046,0.0
RE1,FTERESELC,CO2res,2,2047,0.0
RE1,FTERESELC,CO2res,2,2048,0.0
RE1,FTERESELC,CO2res,2,2049,0.0
RE1,FTERESELC,CO2res,2,2050,0.0
RE1,FTERESETH,CO2res,1,2019,0.0
RE1,FTERESETH,CO2res,1,2020,0.0
RE1,FTERESETH,CO2res,1,2021,0.0
RE1,FTERESETH,CO2res,1,2022,0.0
RE1,FTERESETH,CO2res,1,2023,0.0
RE1,FTERESETH,CO2res,1,2024,0.0
RE1,FTERESETH,CO2res,1,2025,0.0
RE1,FTERESETH,CO2res,1,2026,0.0
RE1,FTERESETH,CO2res,1,2027,0.0
RE1,FTERESETH,CO2res,1,2028,0.0
RE1,FTERESETH,CO2res,1,2029,0.0
RE1,FTERESETH,CO2res,1,2030,0.0
RE1,FTERESETH,CO2res,1,2031,0.0
RE1,FTERESETH,CO2res,1,2032,0.0
RE1,FTERESETH,CO2res,1,2033,0.0
RE1,FTERESETH,CO2res,1,2034,0.0
RE1,FTERESETH,CO2res,1,2035,0.0
RE1,FTERESETH,CO2res,1,2036,0.0
RE1,FTERESETH,CO2res,1,2037,0.0
RE1,FTERESETH,CO2res,1,2038,0.0
RE1,FTERESETH,CO2res,1,2039,0.0
RE1,FTERESETH,CO2res,1,2040,0.0
RE1,FTERESETH,CO2res,1,2041,0.0
RE1,FTERESETH,CO2res,1,2042,0.0
RE1,FTERESETH,CO2res,1,2043,0.0
RE1,FTERESETH,CO2res,1,2044,0.0
RE1,FTERESETH,CO2res,1,2045,0.0
RE1,FTERESETH,CO2res,1,2046,0.0
RE1,FTERESETH,CO2res,1,2047,0.0
RE1,FTERESETH,CO2res,1,2048,0.0
RE1,FTERESETH,CO2res,1,2049,0.0
RE1,FTERESETH,CO2res,1,2050,0.0
RE1,FTERESETH,CO2res,2,2019,0.0
RE1,FTERESETH,CO2res,2,2020,0.0
RE1,FTERESETH,CO2res,2,2021,0.0
RE1,FTERESETH,CO2res,2,2022,0.0
RE1,FTERESETH,CO2res,2,2023,0.0
RE1,FTERESETH,CO2res,2,2024,0.0
RE1,FTERESETH,CO2res,2,2025,0.0
RE1,FTERESETH,CO2res,2,2026,0.0
RE1,FTERESETH,CO2res,2,2027,0.0
RE1,FTERESETH,CO2res,2,2028,0.0
RE1,FTERESETH,CO2res,2,2029,0.0
RE1,FTERESETH,CO2res,2,2030,0.0
RE1,FTERESETH,CO2res,2,2031,0.0
RE1,FTERESETH,CO2res,2,2032,0.0
RE1,FTERESETH,CO2res,2,2033,0.0
RE1,FTERESETH,CO2res,2,2034,0.0
RE1,FTERESETH,CO2res,2,2035,0.0
RE1,FTERESETH,CO2res,2,2036,0.0
RE1,FTERESETH,CO2res,2,2037,0.0
RE1,FTERESETH,CO2res,2,2038,0.0
RE1,FTERESETH,CO2res,2,2039,0.0
RE1,FTERESETH,CO2res,2,2040,0.0
RE1,FTERESETH,CO2res,2,2041,0.0
RE1,FTERESETH,CO2res,2,2042,0.0
RE1,FTERESETH,CO2res,2,2043,0.0
RE1,FTERESETH,CO2res,2,2044,0.0
RE1,FTERESETH,CO2res,2,2045,0.0
RE1,FTERESETH,CO2res,2,2046,0.0
RE1,FTERESETH,CO2res,2,2047,0.0
RE1,FTERESETH,CO2res,2,2048,0.0
RE1,FTERESETH,CO2res,2,2049,0.0
RE1,FTERESETH,CO2res,2,2050,0.0
RE1,FTERESKER,CO2res,1,2019,0.07
RE1,FTERESKER,CO2res,1,2020,0.07
RE1,FTERESKER,CO2res,1,2021,0.07
RE1,FTERESKER,CO2res,1,2022,0.07
RE1,FTERESKER,CO2res,1,2023,0.07
RE1,FTERESKER,CO2res,1,2024,0.07
RE1,FTERESKER,CO2res,1,2025,0.07
RE1,FTERESKER,CO2res,1,2026,0.07
RE1,FTERESKER,CO2res,1,2027,0.07
RE1,FTERESKER,CO2res,1,2028,0.07
RE1,FTERESKER,CO2res,1,2029,0.07
RE1,FTERESKER,CO2res,1,2030,0.07
RE1,FTERESKER,CO2res,1,2031,0.07
RE1,FTERESKER,CO2res,1,2032,0.07
RE1,FTERESKER,CO2res,1,2033,0.07
RE1,FTERESKER,CO2res,1,2034,0.07
RE1,FTERESKER,CO2res,1,2035,0.07
RE1,FTERESKER,CO2res,1,2036,0.07
RE1,FTERESKER,CO2res,1,2037,0.07
RE1,FTERESKER,CO2res,1,2038,0.07
RE1,FTERESKER,CO2res,1,2039,0.07
RE1,FTERESKER,CO2res,1,2040,0.07
RE1,FTERESKER,CO2res,1,2041,0.07
RE1,FTERESKER,CO2res,1,2042,0.07
RE1,FTERESKER,CO2res,1,2043,0.07
RE1,FTERESKER,CO2res,1,2044,0.07
RE1,FTERESKER,CO2res,1,2045,0.07
RE1,FTERESKER,CO2res,1,2046,0.07
RE1,FTERESKER,CO2res,1,2047,0.07
RE1,FTERESKER,CO2res,1,2048,0.07
RE1,FTERESKER,CO2res,1,2049,0.07
RE1,FTERESKER,CO2res,1,2050,0.07
RE1,FTERESKER,CO2res,2,2019,0.0
RE1,FTERESKER,CO2res,2,2020,0.0
RE1,FTERESKER,CO2res,2,2021,0.0
RE1,FTERESKER,CO2res,2,2022,0.0
RE1,FTERESKER,CO2res,2,2023,0.0
RE1,FTERESKER,CO2res,2,2024,0.0
RE1,FTERESKER,CO2res,2,2025,0.0
RE1,FTERESKER,CO2res,2,2026,0.0
RE1,FTERESKER,CO2res,2,2027,0.0
RE1,FTERESKER,CO2res,2,2028,0.0
RE1,FTERESKER,CO2res,2,2029,0.0
RE1,FTERESKER,CO2res,2,2030,0.0
RE1,FTERESKER,CO2res,2,2031,0.0
RE1,FTERESKER,CO2res,2,2032,0.0
RE1,FTERESKER,CO2res,2,2033,0.0
RE1,FTERESKER,CO2res,2,2034,0.0
RE1,FTERESKER,CO2res,2,2035,0.0
RE1,FTERESKER,CO2res,2,2036,0.0
RE1,FTERESKER,CO2res,2,2037,0.0
RE1,FTERESKER,CO2res,2,2038,0.0
RE1,FTERESKER,CO2res,2,2039,0.0
RE1,FTERESKER,CO2res,2,2040,0.0
RE1,FTERESKER,CO2res,2,2041,0.0
RE1,FTERESKER,CO2res,2,2042,0.0
RE1,FTERESKER,CO2res,2,2043,0.0
RE1,FTERESKER,CO2res,2,2044,0.0
RE1,FTERESKER,CO2res,2,2045,0.0
RE1,FTERESKER,CO2res,2,2046,0.0
RE1,FTERESKER,CO2res,2,2047,0.0
RE1,FTERESKER,CO2res,2,2048,0.0
RE1,FTERESKER,CO2res,2,2049,0.0
RE1,FTERESKER,CO2res,2,2050,0.0
RE1,FTERESLPG,CO2res,1,2019,0.06
RE1,FTERESLPG,CO2res,1,2020,0.06
RE1,FTERESLPG,CO2res,1,2021,0.06
RE1,FTERESLPG,CO2res,1,2022,0.06
RE1,FTERESLPG,CO2res,1,2023,0.06
RE1,FTERESLPG,CO2res,1,2024,0.06
RE1,FTERESLPG,CO2res,1,2025,0.06
